$|19
&|4
+|122
<|1201
=|455
>|1314
^|27
aac|73
aahe|3
aand|3
aaron|3
aarseth|16
aarts|9
aase|3
aa|3
abades|3
abandoned|7
abandonment|5
abandon|3
abases|3
abbots|3
abbreviated|7
abbreviations|9
abegg|5
abelard|3
abenteuerliche|3
aberdeen|3
abe|5
abhi@cse.fau.edu|3
abilities|12
ability|92
ablex|7
able|211
abondamment|3
aborde|3
aboriginal|4
about|609
above|191
abraham|3
abridged|3
abroad|4
absence|25
absentation|4
absent|6
absolutely|5
absolute|22
absorb|3
abstraccion|3
abstracting|6
abstraction|16
abstracto|3
abstracts|24
abstract|108
abteilung|3
abundance|3
abundant|3
abyssinia|3
ab|14
academe|5
academia|5
academics|39
academic|190
academy|81
accelerate|3
accents|9
accentuation|6
accent|3
acceptability|8
acceptable|22
acceptances|7
acceptance|7
accepted|51
accepting|10
accepts|11
accept|16
accessed|42
accessibility|26
accessibles|4
accessible|87
accessing|17
access|304
accidentals|3
accident|4
accommodated|6
accommodates|3
accommodate|26
accommodation|7
accompagner|3
accompanied|16
accompanying|10
accompany|7
accomplished|17
accomplishing|3
accomplish|9
accordance|19
accorded|4
accordingly|16
according|218
accord|5
accountable|5
accounted|3
accounting|4
accounts|14
account|114
accretion|3
accumulated|13
accumulating|3
accumulation|3
accuracy|49
accurately|23
accurate|45
accusations|4
accusative|6
accustomed|5
accéder|3
achievable|6
achieved|41
achievements|9
achievement|5
achieve|50
achieving|6
ach|875
acknowledged|12
acknowledgements|8
acknowledge|13
acknowledging|3
acl|16
acm|31
acoustic|4
aco|4
acquaintances|4
acqua|3
acquired|11
acquire|8
acquiring|7
acquisitions|3
acquisition|53
acrobats|3
acrobat|3
acronym|4
across|124
acsam|4
acta|3
actes|5
acting|6
actions|24
action|49
activated|6
activate|5
activating|4
actively|14
active|52
activities|98
activity|77
activités|6
activité|4
actors|4
acts|36
actually|52
actual|82
actuellement|3
act|57
acute|5
acyclic|4
adalbert|3
adam|8
adaptability|3
adaptable|5
adaptations|11
adaptation|16
adapted|42
adapting|7
adaptive|41
adapts|3
adapt|23
added|115
addiction|3
adding|32
addison|11
additionally|23
additional|93
additions|26
addition|175
addname|4
addressed|49
addressee|7
addresses|19
addressing|21
address|102
adds|16
add|75
adelphi|3
adept|3
adequacy|7
adequately|10
adequate|36
adherence|3
adhering|4
adjacente|3
adjacent|7
adjectives|24
adjective|12
adjoining|6
adjudication|4
adjusted|6
adjusting|3
adjustments|3
adjustment|5
adjust|10
adj|5
administered|6
administer|4
administrating|3
administration|8
administrative|27
administrators|9
admired|4
admissions|7
admits|4
admittedly|5
admitted|4
admit|5
admixture|3
adnominatio|3
adobe|9
adolf|4
adopted|31
adopters|6
adopting|12
adoption|17
adopt|16
adressatregister|3
adrian|6
ads|4
adults|3
adumbrated|3
advanced|145
advancement|15
advances|24
advance|19
advancing|4
advantageous|4
advantages|69
advantage|79
adventures|6
advent|18
adverbial|11
adverbs|4
adverb|9
advertisement|4
advertising|9
advice|18
advisable|5
advisers|3
advise|3
advisors|5
advisory|5
advocacy|5
advocated|9
advocates|3
advocate|5
adv|3
ad|24
aeneas|8
aeons|3
aerospace|4
aesthetics|11
aesthetic|22
aet|4
ae|9
afdr|6
affairs|4
affected|6
affecting|6
affects|11
affect|21
affichés|3
affiliated|9
affiliations|5
affiliation|4
affinity|3
affirm|5
affixes|7
affix|4
affluent|3
affordable|4
afforded|6
affords|4
afford|10
afield|3
afin|10
aforementioned|4
african|19
africa|10
aftermath|3
afternoon|7
afterwards|6
after|155
against|74
again|54
aged|5
agencies|12
agency|7
agenda|13
agents|9
agent|9
ages|20
age|71
agglutinative|5
aggregated|4
aggregate|3
aggregation|4
aging|3
ago|31
agreed|19
agreements|8
agreement|19
agrees|3
agree|15
agrimensura|4
aguera|3
aha|7
ahds|22
ahead|5
ahrb|8
ah|6
aichi|3
aided|17
aids|49
aid|41
aijmer|3
ailleurs|8
aimed|29
aiming|6
aims|91
aim|109
ainsi|29
aire|3
airmail|3
air|5
aitchison|4
aix|3
ajax|3
ajouter|3
akademie|3
akaishi|4
akers|3
akin|3
aktion|5
